trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
38,1,1998-01-13,PRIJEM,"PREVOD Z UCTU",3679,15353,NULL,AB,41403269
39,1,1998-02-13,PRIJEM,"PREVOD Z UCTU",3679,14901,NULL,AB,41403269
40,1,1998-03-13,PRIJEM,"PREVOD Z UCTU",3679,16170,NULL,AB,41403269
41,1,1998-04-13,PRIJEM,"PREVOD Z UCTU",3679,15585,NULL,AB,41403269
42,1,1998-05-13,PRIJEM,"PREVOD Z UCTU",3679,16677,NULL,AB,41403269
43,1,1998-06-13,PRIJEM,"PREVOD Z UCTU",3679,17957,NULL,AB,41403269
44,1,1998-07-13,PRIJEM,"PREVOD Z UCTU",3679,18790,NULL,AB,41403269
45,1,1998-08-13,PRIJEM,"PREVOD Z UCTU",3679,19808,NULL,AB,41403269
46,1,1998-09-13,PRIJEM,"PREVOD Z UCTU",3679,14598,NULL,AB,41403269
47,1,1998-10-13,PRIJEM,"PREVOD Z UCTU",3679,15869,NULL,AB,41403269
48,1,1998-11-13,PRIJEM,"PREVOD Z UCTU",3679,17144,NULL,AB,41403269
49,1,1998-12-13,PRIJEM,"PREVOD Z UCTU",3679,13414,NULL,AB,41403269
86,1,1998-01-05,VYDAJ,"PREVOD NA UCET",2452,11774,SIPO,YZ,87144583
87,1,1998-02-05,VYDAJ,"PREVOD NA UCET",2452,10722,SIPO,YZ,87144583
88,1,1998-03-05,VYDAJ,"PREVOD NA UCET",2452,12491,SIPO,YZ,87144583
89,1,1998-04-05,VYDAJ,"PREVOD NA UCET",2452,11906,SIPO,YZ,87144583
90,1,1998-05-05,VYDAJ,"PREVOD NA UCET",2452,12998,SIPO,YZ,87144583
91,1,1998-06-05,VYDAJ,"PREVOD NA UCET",2452,14278,SIPO,YZ,87144583
92,1,1998-07-05,VYDAJ,"PREVOD NA UCET",2452,15111,SIPO,YZ,87144583
93,1,1998-08-05,VYDAJ,"PREVOD NA UCET",2452,16129,SIPO,YZ,87144583
94,1,1998-09-05,VYDAJ,"PREVOD NA UCET",2452,10919,SIPO,YZ,87144583
95,1,1998-10-05,VYDAJ,"PREVOD NA UCET",2452,12190,SIPO,YZ,87144583
96,1,1998-11-05,VYDAJ,"PREVOD NA UCET",2452,13465,SIPO,YZ,87144583
97,1,1998-12-05,VYDAJ,"PREVOD NA UCET",2452,9735,SIPO,YZ,87144583
121,1,1998-01-03,VYDAJ,VYBER,570,14226,NULL,NULL,NULL
122,1,1998-01-28,VYDAJ,VYBER,480,13133,NULL,NULL,NULL
123,1,1998-01-24,VYDAJ,VYBER,330,13613,NULL,NULL,NULL
125,1,1998-01-19,VYDAJ,VYBER,810,13943,NULL,NULL,NULL
143,1,1998-03-17,VYDAJ,VYBER,810,15360,NULL,NULL,NULL
144,1,1998-08-03,VYDAJ,VYBER,270,18581,NULL,NULL,NULL
146,1,1998-11-14,VYDAJ,VYBER,510,16634,NULL,NULL,NULL
147,1,1998-04-04,VYDAJ,VYBER,1050,14358,NULL,NULL,NULL
148,1,1998-04-28,VYDAJ,VYBER,180,15405,NULL,NULL,NULL
149,1,1998-06-24,VYDAJ,VYBER,450,17507,NULL,NULL,NULL
150,1,1998-01-17,VYDAJ,VYBER,600,14753,NULL,NULL,NULL
188,1,1998-01-31,VYDAJ,VYBER,15,13174,SLUZBY,NULL,NULL
189,1,1998-02-28,VYDAJ,VYBER,15,14943,SLUZBY,NULL,NULL
190,1,1998-03-31,VYDAJ,VYBER,15,15408,SLUZBY,NULL,NULL
191,1,1998-04-30,VYDAJ,VYBER,15,15450,SLUZBY,NULL,NULL
192,1,1998-05-31,VYDAJ,VYBER,15,16730,SLUZBY,NULL,NULL
193,1,1998-06-30,VYDAJ,VYBER,15,17563,SLUZBY,NULL,NULL
194,1,1998-07-31,VYDAJ,VYBER,15,18851,SLUZBY,NULL,NULL
195,1,1998-08-31,VYDAJ,VYBER,15,19871,SLUZBY,NULL,NULL
196,1,1998-09-30,VYDAJ,VYBER,15,14642,SLUZBY,NULL,NULL
197,1,1998-10-31,VYDAJ,VYBER,15,15917,SLUZBY,NULL,NULL
198,1,1998-11-30,VYDAJ,VYBER,15,16687,SLUZBY,NULL,NULL
227,1,1998-01-07,VYDAJ,VYBER,100,11674,NULL,NULL,NULL
228,1,1998-02-06,PRIJEM,VKLAD,500,11222,NULL,NULL,NULL
229,1,1998-09-04,VYDAJ,VYBER,6500,13371,NULL,NULL,NULL
230,1,1998-12-03,VYDAJ,VYBER,4500,12187,NULL,NULL,NULL
337,2,1998-01-12,PRIJEM,"PREVOD Z UCTU",20236,45346,NULL,ST,66487163
338,2,1998-02-12,PRIJEM,"PREVOD Z UCTU",20236,40752,NULL,ST,66487163
339,2,1998-03-12,PRIJEM,"PREVOD Z UCTU",20236,49746,NULL,ST,66487163
340,2,1998-04-12,PRIJEM,"PREVOD Z UCTU",20236,43827,NULL,ST,66487163
341,2,1998-05-12,PRIJEM,"PREVOD Z UCTU",20236,43128,NULL,ST,66487163
342,2,1998-06-12,PRIJEM,"PREVOD Z UCTU",30354,59856,NULL,ST,66487163
343,2,1998-07-12,PRIJEM,"PREVOD Z UCTU",20236,59512,NULL,ST,66487163
344,2,1998-08-12,PRIJEM,"PREVOD Z UCTU",20236,60184,NULL,ST,66487163
345,2,1998-09-12,PRIJEM,"PREVOD Z UCTU",20236,55836,NULL,ST,66487163
346,2,1998-10-12,PRIJEM,"PREVOD Z UCTU",20236,53786,NULL,ST,66487163
347,2,1998-11-12,PRIJEM,"PREVOD Z UCTU",20236,54535,NULL,ST,66487163
348,2,1998-12-12,PRIJEM,"PREVOD Z UCTU",30354,54171,NULL,ST,66487163
409,2,1998-01-06,VYDAJ,VYBER,3200,33210,NULL,NULL,0
410,2,1998-02-03,VYDAJ,VYBER,4000,27782,NULL,NULL,0
411,2,1998-03-23,VYDAJ,VYBER,2700,28927,NULL,NULL,0
412,2,1998-04-21,VYDAJ,VYBER,3400,40427,NULL,NULL,0
413,2,1998-05-05,VYDAJ,VYBER,3600,30158,NULL,NULL,0
414,2,1998-06-15,VYDAJ,VYBER,3500,56356,NULL,NULL,0
415,2,1998-07-06,VYDAJ,VYBER,2000,39276,NULL,NULL,0
416,2,1998-08-10,VYDAJ,VYBER,3100,39948,NULL,NULL,0
417,2,1998-09-16,VYDAJ,VYBER,4800,51036,NULL,NULL,0
418,2,1998-10-08,VYDAJ,VYBER,3200,33550,NULL,NULL,0
419,2,1998-11-13,VYDAJ,VYBER,2200,52335,NULL,NULL,0
420,2,1998-12-07,VYDAJ,VYBER,3700,23817,NULL,NULL,0
481,2,1998-01-05,VYDAJ,"PREVOD NA UCET",7266,36410,SIPO,QR,13943797
482,2,1998-02-05,VYDAJ,"PREVOD NA UCET",7266,20516,SIPO,QR,13943797
483,2,1998-03-05,VYDAJ,"PREVOD NA UCET",7266,29510,SIPO,QR,13943797
484,2,1998-04-05,VYDAJ,"PREVOD NA UCET",7266,23591,SIPO,QR,13943797
